H_mean,S_mean,V_mean,H_std,S_std,V_std,Gray_mean,Gray_std,Edge_density,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,label
0.238,0.329,0.777,0.181,0.295,0.212,0.73,0.248,0.098,0.055,0.07,0.031,0.084,0.107,0.132,0.047,0.101,0.373,tanpaserangga
0.217,0.175,0.641,0.22,0.229,0.186,0.617,0.206,0.077,0.074,0.084,0.049,0.089,0.104,0.121,0.069,0.099,0.311,tanpaserangga
0.185,0.464,0.522,0.108,0.265,0.259,0.472,0.247,0.166,0.076,0.076,0.046,0.085,0.135,0.096,0.061,0.079,0.346,belalang
0.25,0.445,0.573,0.052,0.12,0.164,0.508,0.158,0.141,0.09,0.084,0.054,0.089,0.135,0.11,0.067,0.088,0.281,belalang
0.202,0.246,0.678,0.183,0.291,0.324,0.648,0.339,0.112,0.056,0.068,0.022,0.075,0.1,0.124,0.039,0.087,0.429,tanpaserangga
0.254,0.809,0.542,0.016,0.098,0.113,0.424,0.095,0.137,0.094,0.097,0.052,0.078,0.138,0.095,0.067,0.094,0.286,belalang
0.239,0.45,0.411,0.036,0.065,0.082,0.364,0.079,0.07,0.074,0.098,0.052,0.09,0.137,0.102,0.07,0.1,0.275,belalang
0.276,0.211,0.564,0.283,0.251,0.278,0.541,0.286,0.101,0.068,0.064,0.044,0.087,0.111,0.116,0.07,0.085,0.355,tanpaserangga
0.261,0.512,0.588,0.021,0.095,0.087,0.503,0.079,0.026,0.037,0.083,0.047,0.111,0.18,0.145,0.086,0.086,0.223,belalang
0.234,0.518,0.42,0.081,0.192,0.216,0.355,0.188,0.101,0.072,0.08,0.052,0.081,0.134,0.098,0.063,0.079,0.341,belalang
0.178,0.169,0.642,0.115,0.217,0.201,0.625,0.219,0.048,0.081,0.078,0.045,0.089,0.091,0.108,0.074,0.1,0.335,tanpaserangga
0.199,0.466,0.361,0.084,0.216,0.197,0.317,0.18,0.118,0.057,0.072,0.043,0.083,0.174,0.118,0.063,0.076,0.314,belalang
0.215,0.502,0.611,0.108,0.236,0.198,0.556,0.204,0.163,0.09,0.091,0.052,0.085,0.125,0.109,0.063,0.09,0.295,belalang
0.247,0.445,0.452,0.067,0.158,0.191,0.405,0.187,0.079,0.054,0.078,0.056,0.107,0.183,0.139,0.077,0.085,0.221,belalang
0.209,0.429,0.387,0.086,0.189,0.19,0.34,0.171,0.069,0.063,0.083,0.053,0.085,0.14,0.096,0.066,0.083,0.331,belalang
0.22,0.302,0.6,0.173,0.292,0.314,0.567,0.325,0.138,0.073,0.072,0.027,0.068,0.108,0.109,0.046,0.09,0.406,tanpaserangga
0.24,0.199,0.578,0.266,0.245,0.29,0.557,0.298,0.069,0.062,0.065,0.038,0.087,0.11,0.12,0.061,0.09,0.367,tanpaserangga
0.238,0.329,0.777,0.182,0.295,0.212,0.73,0.248,0.099,0.056,0.071,0.031,0.086,0.106,0.133,0.046,0.101,0.371,tanpaserangga
0.244,0.304,0.7,0.181,0.293,0.262,0.667,0.287,0.126,0.079,0.078,0.029,0.071,0.105,0.123,0.049,0.099,0.368,tanpaserangga
0.233,0.504,0.402,0.077,0.182,0.183,0.343,0.161,0.066,0.03,0.056,0.048,0.108,0.232,0.155,0.08,0.059,0.234,belalang
0.245,0.863,0.473,0.019,0.127,0.135,0.373,0.121,0.111,0.081,0.089,0.049,0.09,0.165,0.111,0.059,0.091,0.264,belalang
0.229,0.42,0.565,0.084,0.162,0.221,0.491,0.196,0.09,0.028,0.068,0.034,0.092,0.228,0.133,0.072,0.07,0.275,belalang
0.247,0.125,0.716,0.187,0.191,0.184,0.701,0.201,0.067,0.076,0.08,0.049,0.088,0.11,0.114,0.075,0.099,0.307,tanpaserangga
0.255,0.915,0.402,0.016,0.105,0.094,0.304,0.079,0.104,0.093,0.097,0.05,0.076,0.136,0.098,0.063,0.097,0.289,belalang
0.228,0.52,0.414,0.043,0.156,0.159,0.364,0.154,0.123,0.066,0.083,0.052,0.09,0.174,0.134,0.075,0.088,0.237,belalang
0.244,0.511,0.412,0.036,0.085,0.161,0.359,0.148,0.093,0.079,0.082,0.062,0.097,0.15,0.122,0.077,0.084,0.248,belalang
0.178,0.354,0.647,0.158,0.328,0.315,0.601,0.324,0.106,0.066,0.062,0.034,0.057,0.08,0.103,0.045,0.079,0.475,belalang
0.255,0.548,0.409,0.015,0.065,0.05,0.349,0.051,0.032,0.069,0.086,0.062,0.097,0.116,0.108,0.082,0.096,0.284,belalang
0.155,0.192,0.546,0.115,0.226,0.271,0.526,0.279,0.068,0.073,0.073,0.044,0.075,0.087,0.094,0.062,0.093,0.398,tanpaserangga
0.266,0.201,0.669,0.273,0.244,0.222,0.648,0.239,0.065,0.065,0.072,0.044,0.093,0.118,0.142,0.066,0.099,0.301,tanpaserangga
0.131,0.335,0.867,0.114,0.301,0.153,0.81,0.19,0.116,0.059,0.056,0.034,0.047,0.065,0.085,0.038,0.06,0.557,belalang
0.324,0.528,0.401,0.155,0.392,0.164,0.337,0.154,0.075,0.064,0.066,0.045,0.098,0.12,0.125,0.066,0.088,0.329,tanpaserangga
0.197,0.367,0.763,0.169,0.327,0.216,0.715,0.253,0.098,0.066,0.068,0.036,0.059,0.083,0.124,0.043,0.088,0.432,belalang
0.195,0.233,0.625,0.105,0.257,0.229,0.602,0.247,0.088,0.068,0.075,0.041,0.093,0.12,0.142,0.074,0.1,0.286,tanpaserangga
